"","PLAYER_ID","PLAYER_NAME","PLAYER_LAST_TEAM_ID","PLAYER_LAST_TEAM_ABBREVIATION","AGE","GP","G","FGA_FREQUENCY","FGM","FGA","FG_PCT","EFG_PCT","FG2A_FREQUENCY","FG2M","FG2A","FG2_PCT","FG3A_FREQUENCY","FG3M","FG3A","FG3_PCT"
"313","1628964","Mo Bamba","1610612755","PHI","25","53","13","0.08","8","15","0.533","0.6","0.048","6","9","0.667","0.032","2","6","0.333"
"314","1628449","Chris Boucher","1610612761","TOR","31","49","13","0.071","7","15","0.467","0.533","0.042","5","9","0.556","0.028","2","6","0.333"
"315","1629048","Goga Bitadze","1610612753","ORL","24","57","12","0.074","6","15","0.4","0.4","0.074","6","15","0.4","0","0","0",NA
"316","1630699","MarJon Beauchamp","1610612749","MIL","23","46","12","0.096","4","15","0.267","0.3","0.045","3","7","0.429","0.051","1","8","0.125"
"317","203935","Marcus Smart","1610612763","MEM","30","20","10","0.063","4","15","0.267","0.3","0.021","3","5","0.6","0.042","1","10","0.1"
"318","203109","Jae Crowder","1610612749","MIL","33","43","14","0.066","3","15","0.2","0.3","0.009","0","2","0","0.057","3","13","0.231"
"319","1641729","Brice Sensabaugh","1610612762","UTA","20","24","9","0.109","2","15","0.133","0.167","0.043","1","6","0.167","0.065","1","9","0.111"
"320","1630164","James Wiseman","1610612765","DET","23","54","13","0.058","8","14","0.571","0.571","0.05","8","12","0.667","0.008","0","2","0"
"321","202684","Tristan Thompson","1610612739","CLE","33","45","10","0.126","8","14","0.571","0.571","0.117","8","13","0.615","0.009","0","1","0"
"322","1641741","Ricky Council IV","1610612755","PHI","22","27","11","0.143","4","14","0.286","0.286","0.082","4","8","0.5","0.061","0","6","0"
"323","1641998","Trey Jemison","1610612763","MEM","24","18","8","0.157","9","13","0.692","0.692","0.157","9","13","0.692","0","0","0",NA
"324","1628467","Maxi Kleber","1610612742","DAL","32","36","9","0.105","7","13","0.538","0.615","0.056","5","7","0.714","0.048","2","6","0.333"
"325","1641931","Onuralp Bitim","1610612741","CHI","25","17","8","0.206","6","13","0.462","0.538","0.095","4","6","0.667","0.111","2","7","0.286"
"326","1629162","Jordan McLaughlin","1610612750","MIN","27","48","12","0.108","6","13","0.462","0.654","0.017","1","2","0.5","0.092","5","11","0.455"
"327","1627780","Gary Payton II","1610612744","GSW","31","39","8","0.083","6","13","0.462","0.577","0.038","3","6","0.5","0.045","3","7","0.429"
"328","1631106","Tari Eason","1610612745","HOU","22","22","9","0.069","5","13","0.385","0.423","0.053","4","10","0.4","0.016","1","3","0.333"
"329","1630219","Skylar Mays","1610612747","LAL","26","35","10","0.082","4","13","0.308","0.346","0.051","3","8","0.375","0.032","1","5","0.2"
"330","1629643","Chuma Okeke","1610612753","ORL","25","43","12","0.119","4","13","0.308","0.385","0.018","2","2","1","0.101","2","11","0.182"
"331","203552","Seth Curry","1610612766","CHA","33","44","11","0.064","3","13","0.231","0.231","0.03","3","6","0.5","0.034","0","7","0"
"332","202722","Davis Bertans","1610612766","CHA","31","35","10","0.076","1","13","0.077","0.115","0.012","0","2","0","0.064","1","11","0.091"
"333","1631121","Bryce McGowens","1610612766","CHA","21","53","9","0.061","7","12","0.583","0.625","0.035","6","7","0.857","0.025","1","5","0.2"
"334","1631218","Trayce Jackson-Davis","1610612744","GSW","24","59","9","0.044","7","12","0.583","0.583","0.04","7","11","0.636","0.004","0","1","0"
"335","202330","Gordon Hayward","1610612760","OKC","34","45","11","0.032","4","12","0.333","0.333","0.024","4","9","0.444","0.008","0","3","0"
"336","1629726","Garrison Mathews","1610612737","ATL","27","58","11","0.069","3","12","0.25","0.375","0","0","0",NA,"0.069","3","12","0.25"
"337","1641716","Jarace Walker","1610612754","IND","20","30","7","0.119","3","12","0.25","0.333","0.05","1","5","0.2","0.069","2","7","0.286"
"338","1628420","Monte Morris","1610612750","MIN","28","25","9","0.099","2","12","0.167","0.208","0.017","1","2","0.5","0.083","1","10","0.1"
"339","1630231","KJ Martin","1610612755","PHI","23","56","10","0.075","2","12","0.167","0.167","0.056","2","9","0.222","0.019","0","3","0"
