"","player_name","drives","drive_fta","drive_pts","drive_fg_pct"
"141","Derrick Rose","176","16","80","0.444"
"142","Derrick White","448","68","271","0.503"
"143","Desmond Bane","471","52","280","0.507"
"144","Devin Booker","827","141","586","0.558"
"145","Devin Vassell","598","69","387","0.56"
"146","Devonte' Graham","22","2","10","0.5"
"147","Dexter Dennis","9","0","13","0.857"
"148","Dillon Brooks","298","45","197","0.458"
"149","Dmytro Skapintsev","0","0","0","0"
"150","Domantas Sabonis","457","64","265","0.615"
"151","Dominick Barlow","40","8","17","0.286"
"152","Donovan Mitchell","649","93","386","0.495"
"153","Donte DiVincenzo","317","22","139","0.449"
"154","Dorian Finney-Smith","200","12","80","0.515"
"155","Doug McDermott","58","10","16","0.222"
"156","Draymond Green","140","18","84","0.508"
"157","Drew Eubanks","51","8","28","0.407"
"158","Drew Peterson","0","0","0","0"
"159","Dru Smith","19","2","10","0.5"
"160","Duncan Robinson","351","22","145","0.529"
"161","Duop Reath","103","19","88","0.552"
"162","Dwight Powell","5","0","3","1"
"163","Dylan Windler","10","0","0","0"
"164","Dyson Daniels","181","10","84","0.521"
"165","E.J. Liddell","4","2","4","1"
"166","Emoni Bates","6","2","2","0.333"
"167","Eric Gordon","293","34","183","0.524"
"168","Eugene Omoruyi","28","6","23","0.474"
"169","Evan Fournier","88","10","39","0.429"
"170","Evan Mobley","212","24","119","0.48"
"171","Filip Petrusev","0","0","0","0"
"172","Frank Ntilikina","2","0","0","0"
"173","Franz Wagner","797","136","581","0.533"
"174","Fred VanVleet","699","52","206","0.427"
"175","Furkan Korkmaz","40","6","24","0.391"
"176","GG Jackson","211","60","142","0.466"
"177","Gabe Vincent","17","4","13","0.75"
"178","Garrett Temple","15","4","7","0.667"
"179","Garrison Mathews","36","6","16","0.429"
"180","Gary Harris","102","14","65","0.614"
"181","Gary Payton II","12","0","12","0.75"
"182","Gary Trent Jr.","219","22","136","0.401"
"183","Georges Niang","300","32","202","0.541"
"184","Giannis Antetokounmpo","1076","259","723","0.61"
"185","Goga Bitadze","10","2","7","0.75"
"186","Gordon Hayward","332","58","152","0.427"
"187","Gradey Dick","126","10","58","0.403"
"188","Grant Williams","177","32","115","0.53"
"189","Grayson Allen","397","48","160","0.479"
"190","Greg Brown III","1","0","0","0"
"191","Gui Santos","13","2","5","0.333"
"192","Hamidou Diallo","0","0","0","0"
"193","Harrison Barnes","345","65","241","0.537"
"194","Harry Giles III","11","0","11","0.5"
"195","Haywood Highsmith","54","4","24","0.455"
"196","Henri Drell","1","0","0","0"
"197","Herbert Jones","225","34","133","0.45"
"198","Hunter Tyson","4","0","0","0"
"199","Ibou Badji","1","0","0","0"
"200","Immanuel Quickley","609","98","325","0.455"
"201","Isaac Okoro","252","24","115","0.42"
"202","Isaiah Hartenstein","58","10","49","0.704"
"203","Isaiah Jackson","26","7","20","0.5"
"204","Isaiah Joe","103","6","32","0.5"
"205","Isaiah Livers","30","2","13","0.417"
"206","Isaiah Mobley","3","0","0","0"
"207","Isaiah Stewart","73","10","41","0.485"
"208","Isaiah Thomas","4","0","2","0.333"
"209","Isaiah Wong","3","0","2","0.5"
"210","Ish Smith","306","2","69","0.37"
"211","Ish Wainright","4","0","0","0"
"212","Ivica Zubac","17","4","12","0.4"
"213","Izaiah Brockington","2","0","2","0.5"
"214","JD Davison","3","0","0","0"
"215","JT Thor","52","4","19","0.308"
"216","Ja Morant","191","32","126","0.545"
"217","JaVale McGee","24","0","9","0.235"
"218","Jabari Smith Jr.","185","42","129","0.439"
"219","Jabari Walker","168","46","123","0.467"
"220","Jacob Gilyard","75","0","9","0.444"
"221","Jacob Toppin","2","0","2","1"
"222","Jaden Hardy","293","30","131","0.39"
"223","Jaden Ivey","755","120","377","0.463"
"224","Jaden McDaniels","334","26","229","0.545"
"225","Jaden Springer","87","16","42","0.35"
"226","Jae Crowder","38","2","27","0.481"
"227","Jae'Sean Tate","133","12","86","0.567"
"228","Jahmi'us Ramsey","25","2","12","0.5"
"229","Jaime Jaquez Jr.","462","60","256","0.5"
"230","Jake LaRavia","143","42","88","0.406"
"231","Jakob Poeltl","33","6","21","0.563"
"232","Jalen Brunson","1353","168","852","0.507"
"233","Jalen Crutcher","1","0","0","0"
"234","Jalen Duren","159","26","117","0.505"
