"","Player","Drives","FG%","Percent of Points from free throws"
"139","Dejounte Murray",1124,"0.51",14.09
"140","Kyle Kuzma",783,"0.481",13.8
"141","Santi Aldama",249,"0.443",13.79
"142","P.J. Washington",307,"0.447",13.71
"143","Jalen Williams",861,"0.536",13.64
"144","Alperen Sengun",457,"0.556",13.58
"145","Taurean Prince",220,"0.53",13.49
"146","Lonnie Walker IV",222,"0.521",13.33
"147","Gary Trent Jr.",219,"0.401",13.24
"148","Russell Westbrook",496,"0.448",13.16
"149","Norman Powell",348,"0.537",13.1
"150","Tyler Herro",416,"0.553",13.06
"151","Kyrie Irving",619,"0.548",12.88
"152","Georges Niang",300,"0.541",12.87
"153","Terry Rozier",644,"0.496",12.37
"154","Donte DiVincenzo",317,"0.449",12.23
"155","Tobias Harris",510,"0.521",11.92
"156","Reggie Jackson",551,"0.459",11.9
"157","Khris Middleton",321,"0.5",11.88
"158","Vasilije Micic",407,"0.532",11.7
"159","Jaylen Brown",669,"0.555",11.16
"160","Duncan Robinson",351,"0.529",11.03
"161","Keegan Murray",296,"0.542",10.91
"162","Nickeil Alexander-Walker",301,"0.491",10.66
"163","Josh Giddey",517,"0.502",10.2
"164","Aaron Holiday",297,"0.47",10.07
"165","Ayo Dosunmu",521,"0.569",10
"166","Brandin Podziemski",408,"0.446",10
"167","Naz Reid",284,"0.519",10
"168","Tre Mann",352,"0.513",9.77
"169","Miles McBride",215,"0.435",9.52
"170","Davion Mitchell",229,"0.506",9.28
"171","Chris Paul",275,"0.491",8.73
"172","Josh Hart",400,"0.43",8.38
"173","Andrew Nembhard",544,"0.533",8.03
"174","Nikola Vucevic",234,"0.541",7.75
"175","Jordan Goodwin",211,"0.387",7.69
"176","Jaden McDaniels",334,"0.545",7.42
"177","Kris Dunn",331,"0.528",7.27
"178","T.J. McConnell",882,"0.548",5.47
"179","Killian Hayes",288,"0.47",5.08
"180","Markelle Fultz",243,"0.409",5.05
"181","Buddy Hield",345,"0.55",4.91
"182","Malaki Branham",299,"0.486",4.4
"183","Tyus Jones",465,"0.528",4.4
"184","Ish Smith",306,"0.37",1.45
