"","PLAYER_NAME","CONTESTED_SHOTS","BLK","pct_blocked"
"251","Jordan Clarkson",154,6,0.038961038961039
"252","Josh Green",154,9,0.0584415584415584
"253","Patrick Beverley",154,31,0.201298701298701
"254","Alec Burks",152,12,0.0789473684210526
"255","Chris Boucher",152,24,0.157894736842105
"256","JT Thor",152,24,0.157894736842105
"257","Jericho Sims",150,18,0.12
"258","Darius Garland",148,6,0.0405405405405405
"259","Chris Duarte",147,8,0.054421768707483
"260","Killian Hayes",147,20,0.136054421768707
"261","Aaron Holiday",145,6,0.0413793103448276
"262","David Roddy",144,11,0.0763888888888889
"263","Kenrich Williams",144,9,0.0625
"264","Alex Len",141,31,0.219858156028369
"265","Dennis Smith Jr.",141,12,0.0851063829787234
"266","Quentin Grimes",141,7,0.049645390070922
"267","GG Jackson",140,21,0.15
"268","Josh Richardson",137,14,0.102189781021898
"269","Trendon Watford",136,18,0.132352941176471
"270","Mason Plumlee",135,15,0.111111111111111
"271","Tyler Herro",135,3,0.0222222222222222
"272","Trey Jemison",132,21,0.159090909090909
"273","Dalano Banton",130,17,0.130769230769231
"274","Keita Bates-Diop",130,22,0.169230769230769
"275","Russell Westbrook",130,23,0.176923076923077
"276","Cam Reddish",129,14,0.108527131782946
"277","Josh Okogie",129,23,0.178294573643411
"278","Payton Pritchard",129,6,0.0465116279069767
"279","Doug McDermott",128,2,0.015625
"280","Zach LaVine",128,8,0.0625
"281","Shaedon Sharpe",127,12,0.094488188976378
"282","Trae Young",127,11,0.0866141732283465
"283","Landry Shamet",126,10,0.0793650793650794
"284","Sam Merrill",126,4,0.0317460317460317
"285","Talen Horton-Tucker",126,16,0.126984126984127
"286","Davion Mitchell",123,3,0.024390243902439
"287","Keon Ellis",123,25,0.203252032520325
"288","Eric Gordon",122,28,0.229508196721311
"289","Bruno Fernando",121,28,0.231404958677686
"290","Jontay Porter",120,20,0.166666666666667
"291","Tari Eason",119,19,0.159663865546218
"292","Garrison Mathews",118,7,0.0593220338983051
"293","Kevin Love",118,10,0.0847457627118644
"294","Tyus Jones",117,18,0.153846153846154
"295","Jae Crowder",115,8,0.0695652173913043
"296","Troy Brown Jr.",115,2,0.0173913043478261
"297","Cameron Payne",114,11,0.0964912280701754
"298","Dante Exum",114,5,0.043859649122807
"299","Sasha Vezenkov",114,7,0.0614035087719298
"300","Thomas Bryant",114,15,0.131578947368421
