"","shooting_percentage","attempts","name"
"140",0.4,10,"Amen Thompson"
"141",0.4,10,"Santi Aldama"
"142",0.4,10,"Paul Reed"
"143",0.6,10,"Toumani Camara"
"144",0.666666666666667,9,"Caleb Martin"
"145",0.555555555555556,9,"Derrick White"
"146",0.444444444444444,9,"Trendon Watford"
"147",0.444444444444444,9,"Tre Mann"
"148",0.444444444444444,9,"Brook Lopez"
"149",0.333333333333333,9,"Precious Achiuwa"
"150",0.444444444444444,9,"Moses Moody"
"151",0.666666666666667,9,"Taurean Prince"
"152",0.625,8,"Tobias Harris"
"153",0.5,8,"Bones Hyland"
"154",0.625,8,"Nic Claxton"
"155",0.75,8,"Kelly Olynyk"
"156",0.625,8,"Keegan Murray"
"157",0.375,8,"Lamar Stevens"
"158",0.75,8,"Moritz Wagner"
"159",0.875,8,"Vasilije Micic"
"160",0.428571428571429,7,"James Harden"
"161",0.714285714285714,7,"Jrue Holiday"
"162",0.714285714285714,7,"Jabari Smith Jr."
"163",0.285714285714286,7,"Trey Murphy III"
"164",0.428571428571429,7,"Michael Porter Jr."
"165",0.714285714285714,7,"Marcus Smart"
"166",0.571428571428571,7,"Josh Hart"
"167",0.428571428571429,7,"Jose Alvarado"
"168",0.857142857142857,7,"Alex Caruso"
"169",0.714285714285714,7,"Ish Smith"
"170",0.714285714285714,7,"Malik Beasley"
"171",0.666666666666667,6,"Chet Holmgren"
"172",0.333333333333333,6,"Jalen Duren"
"173",0.166666666666667,6,"Cameron Johnson"
"174",0.5,6,"Buddy Hield"
"175",0.5,6,"Kris Dunn"
"176",0.5,6,"Dario Saric"
"177",0.666666666666667,6,"Killian Hayes"
"178",0.666666666666667,6,"Jae'Sean Tate"
"179",1,6,"Isaiah Hartenstein"
"180",0.5,6,"Josh Green"
"181",0.5,6,"Cam Whitmore"
"182",0.5,6,"Brice Sensabaugh"
"183",0.5,6,"Anthony Black"
"184",0.5,6,"Patrick Williams"
"185",0.6,5,"Chris Paul"
"186",0.6,5,"Jaden Hardy"
"187",0.4,5,"Patrick Beverley"
"188",0.6,5,"Dennis Smith Jr."
"189",0.8,5,"Grayson Allen"
"190",0.2,5,"Jabari Walker"
"191",0.6,5,"Naji Marshall"
"192",0.2,5,"Nikola Jovic"
"193",0.8,5,"Delon Wright"
"194",0.4,5,"Herbert Jones"
"195",0.6,5,"Kevon Looney"
"196",0.6,5,"Marvin Bagley III"
"197",0.8,5,"Deandre Ayton"
